tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tBodyAcc-mad()-X,tBodyAcc-mad()-Y,tBodyAcc-mad()-Z,tBodyAcc-max()-X,tBodyAcc-max()-Y,tBodyAcc-max()-Z,tBodyAcc-min()-X,tBodyAcc-min()-Y,tBodyAcc-min()-Z,tBodyAcc-energy()-X,tBodyAcc-energy()-Y,tBodyAcc-energy()-Z,tBodyAcc-iqr()-X,tBodyAcc-iqr()-Y,tBodyAcc-iqr()-Z,tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,tGravityAcc-std()-X,tGravityAcc-std()-Y,tGravityAcc-std()-Z,tGravityAcc-mad()-X,tGravityAcc-mad()-Y,tGravityAcc-mad()-Z,tGravityAcc-max()-X,tGravityAcc-max()-Y,tGravityAcc-max()-Z,tGravityAcc-min()-X,tGravityAcc-min()-Y,tGravityAcc-min()-Z,tGravityAcc-energy()-X,tGravityAcc-energy()-Y,tGravityAcc-energy()-Z,tGravityAcc-iqr()-X,tGravityAcc-iqr()-Y,tGravityAcc-iqr()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyGyro-mad()-X,tBodyGyro-mad()-Y,tBodyGyro-mad()-Z,tBodyGyro-max()-X,tBodyGyro-max()-Y,tBodyGyro-max()-Z,tBodyGyro-min()-X,tBodyGyro-min()-Y,tBodyGyro-min()-Z,tBodyGyro-energy()-X,tBodyGyro-energy()-Y,tBodyGyro-energy()-Z,tBodyGyro-iqr()-X,tBodyGyro-iqr()-Y,tBodyGyro-iqr()-Z,tBodyAccMag-mean(),tBodyAccMag-std(),tBodyAccMag-mad(),tBodyAccMag-max(),tBodyAccMag-min(),tBodyAccMag-energy(),tBodyAccMag-iqr(),tGravityAccMag-mean(),tGravityAccMag-std(),tGravityAccMag-mad(),tGravityAccMag-max(),tGravityAccMag-min(),tGravityAccMag-energy(),tGravityAccMag-iqr(),tBodyGyroMag-mean(),tBodyGyroMag-std(),tBodyGyroMag-mad(),tBodyGyroMag-max(),tBodyGyroMag-min(),tBodyGyroMag-energy(),tBodyGyroMag-iqr(),Activity
0.206001238,-0.541515502,0.661601587,0.230835916,0.462011287,0.582779225,0.177213716,0.384476063,0.477505046,0.582976103,0.005128145,1.572462082,-0.159337997,-1.293682575,-0.126057625,0.090877619,0.48728852,0.746472682,0.319129825,0.647343278,0.949205399,-3.185717041,4.190485001,8.160286643,0.588342364,0.565907421,0.981172589,0.507950743,0.477635037,0.832712157,-2.40598321,4.698905468,9.551549911,-4.042075634,2.951546669,6.994220734,10.46347192,17.851302,67.4654596,1.016650557,0.771386027,1.733301163,-0.591244611,-0.666462132,-0.346558645,0.181080679,0.268205409,0.153235946,0.130688497,0.232207789,0.129810092,-0.220821291,-0.355360389,-0.142327413,-0.834875464,-1.079977989,-0.630699813,0.379379474,0.509566447,0.14144949,0.172564358,0.431563616,0.224486366,0.715264699,0.392052142,0.309337869,1.431295705,0.246769526,0.6513353,0.452160373,5.272860955,0.759064584,0.646935141,6.124192357,3.812546996,28.32686178,1.23429565,0.941071452,0.177782356,0.161894045,1.118742413,0.686093061,0.91434872,0.335281234,WALKING_UPSTAIRS
0.376370853,-0.445742141,0.265753139,0.252791639,0.407263635,0.706918373,0.220548744,0.327544072,0.549860789,0.792362928,0.002714515,1.572462082,0.038412809,-1.340865135,-0.673799515,0.199749212,0.349471209,0.524927991,0.3985461,0.531914592,0.746228218,-2.683985667,3.506137761,9.072658885,0.244496672,0.705083364,0.580680884,0.206692388,0.595110842,0.445519802,-2.389831543,4.698905468,10.43150997,-3.110669374,2.654836655,8.476573944,7.258123262,12.74494977,82.61967588,0.378065825,0.902094245,0.706181526,-0.855324994,-0.357415057,-0.405283278,0.292313531,0.24965107,0.11768921,0.236241387,0.195910326,0.100721646,-0.542279661,0.054365408,-0.189973503,-1.355622768,-0.64337486,-0.553580344,0.809260119,0.184405211,0.176846126,0.370173424,0.342685318,0.19172968,0.764545858,0.372367239,0.285794817,1.633486807,0.350301687,0.710582514,0.435750547,4.430859192,0.683798724,0.57493292,5.566134696,3.643573284,20.05758654,0.99995109,1.01106044,0.244571389,0.192363364,1.407102526,0.686093061,1.076620636,0.311838809,WALKING_UPSTAIRS
0.3796503,-0.430145052,0.171358975,0.291523718,0.60549067,0.575743014,0.230236136,0.459456663,0.421127225,0.792114437,0.596455872,1.098041534,-0.137717366,-1.572138309,-0.895141602,0.221394422,0.518314722,0.330709369,0.434671193,0.61295782,0.520308018,-2.041295247,1.298106272,9.342177911,0.367284785,1.214439902,0.479445899,0.30299859,1.012272735,0.371213771,-1.496112347,3.025724173,10.29571724,-2.583052158,-0.601196706,8.624929428,4.289520932,3.025865599,87.48525937,0.559621393,1.724626906,0.636191845,-1.060305899,-0.38504201,-0.369326578,0.311509328,0.188506797,0.333551799,0.274823205,0.139583643,0.261477962,-0.599546611,-0.136218935,0.186308414,-1.384179831,-0.771194637,-0.863585293,1.212465019,0.180561725,0.237544669,0.536018461,0.205091968,0.466305502,1.009014067,0.320743362,0.233816161,1.791472708,0.678709579,1.1116333,0.33533531,2.634991528,0.788568981,0.629417279,3.992835485,1.590804922,7.508490389,1.141706386,1.251843925,0.279422832,0.247500958,1.613841636,0.872013499,1.638092411,0.469908593,WALKING_UPSTAIRS
-0.272822174,0.158997818,-0.191971952,0.346932711,0.735713458,0.805485877,0.2622653,0.564354462,0.634716365,0.405597329,1.028015018,1.190770149,-0.772788405,-1.173699975,-1.151910782,0.183852217,0.517347844,0.626678229,0.352513671,0.715039343,1.056936264,-1.412798627,-0.551491226,9.656725277,0.416236649,0.632574481,0.735362246,0.352110769,0.486563666,0.585598828,-0.732203722,0.402592421,10.79940701,-1.907079697,-1.630708575,8.504091263,2.15350264,0.66791573,93.74394093,0.572482765,0.685543696,1.007677078,-0.080534661,-0.233579665,1.037385228,1.199815422,0.669041407,0.407612372,1.032798849,0.573855666,0.30346235,1.51597023,0.707666576,1.617981672,-1.670667291,-1.164885759,0.203870267,1.315174055,0.461483464,1.227211607,2.053744883,1.204819851,0.459586203,1.150744464,0.2284193,0.197242528,1.513292956,0.856236945,1.371644982,0.40244158,1.751993604,0.434459002,0.357503528,2.436999256,1.066946449,3.241076703,0.644926311,1.460598873,0.390245311,0.338762076,1.961086938,0.901779339,2.271795798,0.601095607,WALKING_UPSTAIRS
0.294126099,0.753751766,0.953906319,0.367057001,0.547783069,1.125780472,0.290735306,0.445600019,0.900369282,1.042221308,1.349923611,3.335904121,-0.136337876,-0.19776547,-0.280864716,0.208992746,0.840929261,2.062102422,0.460633606,0.766943216,1.540951252,-1.650993248,1.411330285,9.68739683,0.653807693,0.692473951,0.794645456,0.466432358,0.503481526,0.671572409,-0.136989102,2.185245275,10.87238789,-2.42572403,-0.305683106,8.474181175,3.114382796,2.427780604,94.41971315,0.550648391,0.644865692,1.180259704,0.845842979,-0.308977652,0.305881766,0.290203846,0.475639453,0.246752824,0.260718196,0.425548512,0.187196924,1.255749226,0.439962745,0.680941999,0.515860498,-0.855033457,-0.105829291,0.792012411,0.301133452,0.148915433,0.534033239,0.804485844,0.226777047,1.433427266,0.239481444,0.185947964,1.74386236,0.95220399,2.106851328,0.326621391,2.485292231,0.331095207,0.274309818,2.97379333,2.081756855,6.276335689,0.612763153,1.375405326,0.195039174,0.163214309,1.657291238,1.130062531,1.926321884,0.316179392,WALKING_UPSTAIRS
1.307236233,-1.722087069,2.206721652,0.538140215,1.268155887,1.838981796,0.435398119,1.074761422,1.625288672,1.828269482,0.218220949,4.379148483,0.400182664,-3.328208685,-0.392051697,1.97213465,4.427601467,7.944033219,0.721047283,1.916675091,2.965195179,-0.472093029,3.278819648,11.06691361,0.343429945,0.531302504,1.665478059,0.26800602,0.381595907,1.327156413,0.150149614,4.107280254,13.73300743,-1.008574724,2.358724833,9.232108116,0.330093762,11.0072786,124.9982287,0.43908295,0.437587381,2.450250625,0.228984425,-0.052796638,0.245088584,0.403710835,0.242349084,0.22574323,0.323370427,0.194004588,0.157944408,0.609625578,0.413849026,0.57877779,-0.586107969,-0.306798041,-0.268161953,0.20059972,0.056181193,0.106395692,0.483943723,0.257013984,0.19745639,2.644665624,1.015156345,0.865895191,3.985100321,1.236019641,7.931112997,1.621863973,3.496993236,0.519198037,0.382540241,4.296243059,2.629402007,12.47402224,0.461642566,1.23045076,0.046238222,0.033465549,1.335104751,1.170771745,1.515952684,0.050835372,WALKING_UPSTAIRS
1.12837507,-1.492159507,-1.178465366,0.34093251,0.603359421,1.100214863,0.23810004,0.498299813,0.849885507,1.802084923,-0.727037668,0.992980957,0.546961427,-2.560615063,-2.464098454,1.378898458,2.557487806,2.489210388,0.233410179,0.898820818,1.42321372,0.94967868,0.919387728,10.83290655,0.385274113,1.044636461,1.642026381,0.285803881,0.710401362,1.39893111,1.379462242,3.135195971,13.17488194,0.068195447,-0.515653253,8.880363464,1.036831542,1.83733319,119.8030012,0.396909505,0.652044162,2.746063231,0.191986517,-0.19952493,-0.572058461,0.381293875,0.272933259,0.216567768,0.319748249,0.221316022,0.190223395,0.765086174,0.04718795,-0.246171445,-0.272437871,-0.712247908,-0.768293142,0.169027022,0.10753071,0.369888699,0.654522829,0.348717425,0.396058098,2.410277421,0.49276094,0.377947579,3.409966199,1.872000892,6.030176651,0.566653421,2.063229907,0.518431789,0.357610125,3.350183725,1.515963015,4.501255396,0.422427308,1.429618948,0.080423905,0.056374034,1.543146685,1.268655241,2.049690341,0.08100394,WALKING_UPSTAIRS
0.611322506,-0.018741456,0.349909826,0.465832661,0.648078873,1.706611939,0.35581726,0.495095998,1.53034293,1.282474041,0.745793104,2.46652317,-0.206307948,-1.235175371,-1.686125278,0.570987995,0.382175084,2.770186259,0.472918153,0.664987206,3.292968751,0.393510556,1.81702253,7.854494745,0.230150918,0.387566051,0.73017054,0.155543354,0.32338703,0.619236812,0.689731121,2.373680115,8.696115494,-0.177068874,1.241874933,6.826124668,0.203004599,3.438123095,62.17776863,0.165104747,0.634696245,1.254736424,-0.092626654,-0.022406987,-0.561604649,0.202712797,0.357465692,0.074622013,0.169613603,0.277168156,0.053330497,0.215018243,0.535254896,-0.44179529,-0.3735331,-0.496313393,-0.686745048,0.045936495,0.116667274,0.320462004,0.310157692,0.531208053,0.048409641,1.914039344,0.192752732,0.13671718,2.297899342,1.739254392,3.697322626,0.076186752,2.400232563,0.306691389,0.261424473,2.826792355,1.962343996,5.846625092,0.514720559,1.590868634,0.086488035,0.067064204,1.706186894,1.447918352,2.537663174,0.121406178,WALKING_UPSTAIRS
-0.026747067,-1.008759759,1.413046187,0.420512119,0.897927009,1.789818629,0.312495561,0.731295826,1.539828001,0.573546886,0.126345158,3.113027573,-0.797882915,-2.47858572,-1.37682724,0.161470353,1.750571627,4.908927457,0.36896123,1.471938729,2.952206135,-0.406834238,3.158906612,10.3597801,0.325660161,0.442982682,1.823436985,0.255774947,0.349332325,1.570166258,0.031106694,3.809971809,12.29611778,-0.954736233,2.511267424,7.649854183,0.261927316,10.15708521,110.3477004,0.41216371,0.678365231,2.935993198,0.453456911,-0.269480822,-0.186724897,0.283595582,0.133498941,0.275930191,0.212605137,0.100562623,0.23125112,0.791505337,-0.023975754,0.201121464,-0.157140464,-0.428356648,-0.616192162,0.278738128,0.088821702,0.104082069,0.239070334,0.128965124,0.432632558,2.275924511,0.4859785,0.394601848,3.129908325,1.775152387,5.394537017,0.725771211,3.620996642,0.444050869,0.350318934,4.300306741,3.008130304,13.29087229,0.688387371,1.850810518,0.087762844,0.070845982,1.972690672,1.698525763,3.43250168,0.103932646,WALKING_UPSTAIRS
-0.13802598,-1.339659301,-1.402831641,0.308916949,0.429116061,0.362381816,0.27264285,0.345172295,0.263609863,0.361538798,-0.685379267,-0.715856552,-0.511953712,-1.977493048,-1.868118763,0.105805427,1.962087582,2.087318959,0.520076305,0.547156811,0.354361058,-0.87169441,2.436002211,9.656616515,0.638220955,0.749139799,1.955198738,0.553839564,0.624971646,1.758418186,0.066999033,3.467200041,12.01316643,-1.754537225,1.245464206,7.479963779,1.130147498,6.444298081,96.72551716,1.041476041,0.952941657,3.754039764,0.223236909,0.315599788,0.1821019,0.20991253,0.371300208,0.267042899,0.175671597,0.284548804,0.205471856,0.540294409,0.870457351,0.685370624,-0.089489125,-0.405755281,-0.119573347,0.089892236,0.224933994,0.097990111,0.283280419,0.407053348,0.259762798,2.516983684,0.213619146,0.174026733,2.851163402,2.201787191,6.376691538,0.289132992,3.296158401,0.607923729,0.50941614,3.970956107,2.322795861,11.20063408,0.977139133,2.037478393,0.083238031,0.059539287,2.177327184,1.895859723,4.157616903,0.061286579,WALKING_UPSTAIRS
